File,Species_name,Common_name,Subject,Treatment,Treatment_description,Date_start,Time_start,Date_end,Time_end,Time_recorded,Video_length,Hardware_description,Software_description,Further_description
jwaspE_nectar-open-close.avi,Ampulex_compressa,jewel_wasp,E_male,nectar-open-close,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),5/8/22,11:15:09,5/8/22,16:08:55,05:08:53,05:08:53,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Concatenated video from individually recorded conditions (in order: _wateronly + _control + _nectar1 + _nectar2). Concatenated via ffmpeg. Beware in this video the FOV seems to move slightly between videos. Necessary to redefine ROIs for each condition. 
jwaspG_nectar-open-close.avi,Ampulex_compressa,jewel_wasp,G_male,nectar-open-close,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),7/8/22,10:27:23,7/8/22,15:03:02,05:06:25,05:06:26,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Concatenated video from individually recorded conditions (in order: _wateronly + _control + _nectar1 + _nectar2). Concatenated via ffmpeg. 
jwaspH_nectar-open-close.avi,Ampulex_compressa,jewel_wasp,H_male,nectar-open-close,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),9/8/22,11:49:10,9/8/22,17:01:26,05:03:56,05:03:59,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Concatenated video from individually recorded conditions (in order: _wateronly + _control + _nectar1 + _nectar2). Concatenated via ffmpeg. 
jwaspI_nectar-open-close.avi,Ampulex_compressa,jewel_wasp,I_male,nectar-open-close,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),10/8/22,10:57:07,10/8/22,16:05:02,05:06:40,05:06:42,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Concatenated video from individually recorded conditions (in order: _wateronly + _control + _nectar1 + _nectar2). Concatenated via ffmpeg. 
jwaspJ_nectar-open-close.avi,Ampulex_compressa,jewel_wasp,J_female,nectar-open-close,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),11/8/22,11:16:01,11/8/22,16:27:14,05:08:15,05:08:17,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Concatenated video from individually recorded conditions (in order: _wateronly + _control + _nectar1 + _nectar2). Concatenated via ffmpeg. 
jwaspK_nectar-open-close.avi,Ampulex_compressa,jewel_wasp,K_female,nectar-open-close,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),12/8/22,10:24:44,12/8/22,15:37:46,05:08:23,05:08:24,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Concatenated video from individually recorded conditions (in order: _wateronly + _control + _nectar1 + _nectar2). Concatenated via ffmpeg. 
jwaspL_nectar-open-close.avi,Ampulex_compressa,jewel_wasp,L_female,nectar-open-close,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),15/8/22,11:08:26,15/8/22,16:30:41,05:20:28,05:20:34,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Concatenated video from individually recorded conditions (in order: _wateronly + _control + _nectar1 + _nectar2). Concatenated via ffmpeg. 
jwaspM_nectar-open-close.avi,Ampulex_compressa,jewel_wasp,M_female,nectar-open-close,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),16/8/22,11:20:53,16/8/22,15:56:11,05:07:44,05:07:43,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Concatenated video from individually recorded conditions (in order: _wateronly + _control + _nectar1 + _nectar2). Concatenated via ffmpeg. 
jwaspN_nectar-open-close.avi,Ampulex_compressa,jewel_wasp,N_male,nectar-open-close,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),17/8/22,10:03:09,17/8/22,16:11:14,05:13:55,05:13:56,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Concatenated video from individually recorded conditions (in order: _wateronly + _control + _nectar1 + _nectar2). Concatenated via ffmpeg. 
jwaspO_nectar-open-close.avi,Ampulex_compressa,jewel_wasp,O_female,nectar-open-close,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),10/11/22,10:43:35,10/11/22,15:48:48,05:05:13,05:04:09,Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Reference 'nectar-open-close.pdf' on ceph (in \zoo\raw\LondonZoo\Experiment-protocols\Jewel-wasp_Ampulex-compressa\) or Google Drive (most up-to-date version if they are different - in Experiment Protocols\jewel-wasp_Ampulex-compressa\),Concatenated video from individually recorded conditions (in order: _wateronly + _control + _nectar1 + _nectar2). Concatenated via ffmpeg. 
